study_hours_per_day,attendance_rate,homework_completion_rate,classroom_engagement_level,parents_academic_involvement,type_of_school,tuition_hours_per_week,household_income_bracket,stress_levels_during_exams,sleep_hours_per_day,extracurricular_involvement,screen_time_non_academic,nutrition_level,overall_academic_performance
8,55.9,90.8,medium,high,public,6,low,medium,7,moderate,6,junk-heavy,81.9
3,97.7,74.2,high,medium,public,0,low,medium,8,none,5,junk-heavy,47.0
5,93.3,63.1,low,medium,public,8,low,medium,8,low,5,mixed,71.1
6,78.9,77.0,high,low,public,5,low,high,6,none,4,junk-heavy,61.0
6,83.7,72.5,low,high,private,1,mid,medium,7,low,3,balanced,75.1
4,50.8,59.1,medium,low,public,0,low,medium,7,moderate,4,balanced,49.9
3,66.9,56.6,medium,medium,public,5,low,medium,10,none,4,mixed,59.8
4,89.8,56.8,medium,low,public,6,mid,high,7,none,3,balanced,53.5
1,53.9,71.2,medium,high,public,9,low,medium,7,low,3,mixed,52.5
4,64.1,75.3,medium,high,private,5,mid,low,11,moderate,7,junk-heavy,71.2
1,79.3,61.6,high,medium,private,6,low,medium,11,moderate,3,junk-heavy,59.4
1,62.8,97.8,high,medium,private,5,high,medium,5,moderate,4,balanced,69.6
6,96.7,35.9,high,medium,private,7,mid,low,10,none,6,balanced,94.4
5,56.6,54.3,high,high,public,1,low,medium,10,moderate,7,junk-heavy,61.7
4,89.9,59.3,high,medium,private,8,low,medium,7,low,3,junk-heavy,72.6
3,75.4,31.2,high,high,public,8,low,medium,6,high,3,junk-heavy,55.5
1,87.5,55.5,high,medium,private,10,mid,high,9,moderate,5,junk-heavy,58.3
6,65.5,49.2,medium,low,private,8,mid,medium,7,low,4,balanced,68.5
2,75.7,65.4,high,low,private,6,low,medium,8,moderate,3,mixed,73.6
8,92.8,53.5,high,medium,public,8,high,low,5,low,4,mixed,98.0
5,73.3,80.8,high,medium,international,0,low,high,8,low,2,mixed,74.6
7,68.0,65.7,medium,low,private,2,mid,low,6,moderate,1,junk-heavy,76.8
2,76.8,39.1,low,low,private,1,high,high,6,low,5,balanced,34.7
8,85.9,82.5,high,medium,public,10,high,medium,10,low,7,balanced,98.0
2,72.2,36.9,high,low,public,0,mid,medium,11,low,5,junk-heavy,34.5
4,96.9,88.7,medium,low,public,4,high,medium,9,high,7,mixed,61.5
1,64.7,95.2,low,high,public,0,high,high,9,high,4,junk-heavy,40.3
5,73.8,52.6,medium,medium,public,2,high,high,7,low,3,junk-heavy,51.9
9,87.8,94.8,medium,low,private,5,low,high,11,none,7,mixed,88.1
1,84.5,85.5,medium,medium,public,5,low,high,10,none,4,balanced,46.7
9,93.2,94.6,medium,high,private,2,low,low,9,low,6,mixed,98.0
8,99.8,76.6,high,medium,public,3,high,medium,6,low,1,balanced,98.0
6,71.3,46.5,medium,low,public,6,low,medium,5,none,5,balanced,55.5
7,55.6,92.6,medium,high,international,5,low,high,11,high,5,mixed,90.6
3,51.5,42.9,high,medium,private,10,low,medium,10,moderate,1,mixed,77.4
1,86.3,44.9,medium,medium,public,1,mid,medium,9,none,4,mixed,33.5
5,93.7,49.0,low,medium,public,8,mid,low,11,none,5,mixed,78.9
2,61.0,51.3,medium,medium,public,5,low,high,8,low,3,mixed,41.4
5,57.9,66.0,medium,medium,public,1,mid,high,6,none,4,junk-heavy,30.6
8,53.1,79.9,high,high,public,6,low,medium,9,moderate,3,junk-heavy,88.4
9,91.1,94.8,high,medium,public,10,low,high,9,low,7,balanced,98.0
2,65.6,36.2,medium,high,private,10,high,medium,6,high,6,balanced,56.5
3,70.1,96.8,low,medium,public,9,mid,low,5,low,6,junk-heavy,60.6
3,75.1,94.5,low,medium,public,9,low,high,4,moderate,6,mixed,44.5
1,92.0,33.8,high,medium,private,3,high,low,4,high,2,balanced,63.0
8,82.5,55.2,high,low,international,0,low,low,5,low,1,junk-heavy,79.6
6,80.8,86.9,medium,low,international,9,mid,low,6,moderate,6,mixed,87.6
8,58.8,72.8,medium,medium,private,8,mid,medium,5,none,5,junk-heavy,81.7
9,75.7,84.5,high,medium,public,10,mid,medium,5,low,1,mixed,98.0
5,85.8,80.3,high,low,public,9,mid,medium,4,low,1,mixed,88.4
3,98.7,64.8,medium,medium,private,7,low,high,11,low,3,junk-heavy,66.7
5,60.1,32.9,high,low,private,4,mid,high,7,none,7,balanced,51.3
5,50.5,70.9,medium,high,private,2,low,medium,9,low,5,balanced,71.9
5,53.8,33.4,low,low,public,3,mid,medium,6,high,2,junk-heavy,28.8
3,68.8,72.3,medium,medium,public,2,mid,high,8,high,1,junk-heavy,47.9
4,91.0,86.0,low,medium,private,9,mid,medium,11,low,3,balanced,87.2
9,50.4,70.9,medium,medium,public,7,mid,medium,5,low,6,mixed,80.0
9,72.8,99.8,medium,low,private,4,low,medium,10,none,3,junk-heavy,87.4
2,66.5,61.9,medium,medium,international,10,low,high,4,none,6,balanced,46.3
8,52.6,82.4,medium,high,private,7,low,medium,11,low,7,mixed,83.9
8,72.5,76.7,medium,medium,public,0,high,high,11,moderate,5,balanced,77.9
7,62.7,99.4,low,medium,public,8,high,medium,7,low,4,balanced,82.5
8,67.6,79.9,high,medium,public,10,high,medium,10,none,4,balanced,98.0
3,85.3,41.5,medium,low,private,9,low,medium,6,moderate,7,balanced,48.5
6,76.1,96.9,medium,low,public,2,mid,low,10,low,2,mixed,79.7
1,56.2,76.7,high,high,public,0,mid,low,5,moderate,7,junk-heavy,40.1
7,98.1,34.2,medium,high,public,2,mid,low,4,low,6,junk-heavy,56.5
1,81.8,76.0,medium,medium,public,1,mid,medium,5,moderate,3,junk-heavy,34.7
9,88.3,91.8,medium,medium,international,6,low,high,8,high,4,junk-heavy,93.4
1,54.0,70.4,high,medium,private,9,mid,low,10,moderate,7,junk-heavy,57.2
1,52.4,54.8,high,low,public,3,mid,medium,11,moderate,1,mixed,63.4
7,51.0,87.5,medium,medium,international,6,low,medium,6,low,2,junk-heavy,68.2
2,59.4,84.8,medium,high,private,2,high,medium,9,none,6,mixed,54.1
5,70.7,68.1,low,medium,private,5,mid,high,6,low,1,mixed,60.1
8,96.8,40.8,high,medium,private,6,mid,medium,6,high,4,balanced,95.5
8,72.9,47.6,medium,low,private,6,mid,medium,6,moderate,3,junk-heavy,69.0
3,64.5,81.7,high,low,public,4,mid,high,11,low,4,mixed,57.3
7,78.1,86.4,medium,medium,public,5,low,medium,4,moderate,2,mixed,82.3
3,55.6,49.5,medium,high,private,2,mid,low,8,moderate,6,balanced,60.7
6,80.5,55.8,high,high,public,3,low,high,5,high,2,balanced,70.4
6,78.4,35.4,high,high,public,10,high,medium,4,low,1,junk-heavy,93.2
3,89.6,79.9,low,medium,public,5,low,medium,10,high,1,balanced,72.6
7,99.3,30.3,medium,medium,public,2,low,medium,7,moderate,2,balanced,81.0
3,62.5,33.3,medium,high,public,6,high,medium,6,none,7,balanced,55.0
8,75.5,30.3,medium,medium,private,2,low,high,6,low,7,balanced,60.8
4,95.4,75.2,medium,high,public,8,low,high,5,low,1,balanced,71.2
1,89.3,59.2,medium,medium,public,3,high,high,6,none,7,mixed,32.2
4,74.4,50.8,medium,medium,international,1,low,medium,6,moderate,5,balanced,54.0
7,97.3,93.9,low,medium,private,5,low,high,5,low,6,junk-heavy,64.6
4,52.9,43.5,medium,medium,public,8,low,medium,8,low,2,junk-heavy,54.5
6,96.5,57.3,medium,low,public,9,high,medium,4,low,6,mixed,74.4
9,52.5,95.8,medium,medium,private,9,low,high,8,moderate,1,balanced,97.5
1,77.4,59.9,high,high,private,1,mid,medium,5,high,7,balanced,53.6
5,94.5,68.8,low,medium,public,3,low,medium,9,moderate,6,mixed,65.2
7,63.1,35.6,medium,low,international,4,low,low,11,high,4,mixed,76.5
1,73.6,85.3,medium,medium,private,8,low,high,11,moderate,3,junk-heavy,59.4
4,66.2,59.6,medium,medium,private,6,high,low,10,moderate,7,balanced,79.3
6,97.6,86.0,medium,medium,public,4,mid,medium,10,low,5,balanced,91.1
2,91.2,47.8,medium,medium,public,5,low,high,9,moderate,5,balanced,54.3
5,85.5,59.6,medium,medium,public,8,low,low,9,low,3,balanced,84.3
1,79.4,85.1,high,medium,public,3,mid,medium,11,low,3,balanced,66.4
6,91.0,98.2,high,low,public,1,mid,high,6,moderate,6,balanced,69.3
6,69.6,34.2,low,medium,public,4,low,medium,10,moderate,6,balanced,62.7
4,72.4,86.9,medium,medium,private,6,low,medium,6,low,4,mixed,69.1
8,86.5,51.0,medium,low,public,3,mid,medium,8,none,6,mixed,72.2
4,67.9,68.6,medium,medium,public,0,mid,low,7,low,3,balanced,69.3
8,53.2,50.3,medium,medium,international,7,low,high,4,high,5,mixed,71.7
8,53.7,72.9,medium,high,public,4,low,medium,6,none,4,mixed,73.2
5,55.8,54.8,low,medium,public,9,mid,high,5,high,3,balanced,69.4
4,93.5,53.4,high,medium,private,1,low,medium,11,high,4,balanced,76.4
2,73.6,32.7,medium,medium,international,2,low,medium,8,moderate,4,balanced,48.8
3,85.6,40.3,medium,low,private,9,mid,low,10,moderate,6,mixed,68.3
3,69.6,94.2,high,medium,public,9,mid,low,4,high,6,balanced,75.7
4,62.9,99.9,low,high,international,4,mid,medium,9,low,1,balanced,80.9
4,67.4,84.6,medium,medium,public,10,mid,medium,7,none,3,junk-heavy,64.6
5,89.7,50.1,medium,medium,private,3,mid,high,9,high,6,mixed,59.2
4,81.3,58.2,medium,low,public,8,low,low,9,none,1,balanced,75.6
8,96.9,81.8,medium,high,private,8,low,medium,11,none,6,junk-heavy,98.0
6,84.0,97.8,low,high,public,7,low,medium,10,none,5,balanced,84.5
6,78.5,61.9,low,low,private,1,high,medium,6,low,7,junk-heavy,52.4
8,80.5,88.1,low,medium,private,4,mid,medium,8,low,4,balanced,83.8
7,97.1,98.3,high,low,public,7,low,medium,6,none,5,junk-heavy,82.0
8,89.4,91.1,low,medium,public,7,low,medium,10,low,4,junk-heavy,83.3
2,51.2,45.9,low,low,private,6,mid,high,10,moderate,3,balanced,45.1
9,76.7,30.6,high,low,public,3,low,medium,8,high,7,balanced,80.0
1,84.4,64.4,medium,low,public,2,mid,medium,7,low,2,balanced,51.0
8,87.4,67.2,medium,high,private,7,high,low,10,low,3,balanced,98.0
4,60.7,44.1,low,high,international,7,low,medium,5,low,4,balanced,56.0
4,93.4,49.9,medium,low,public,9,low,high,10,high,2,balanced,68.8
5,97.8,83.6,low,medium,public,4,low,low,10,low,2,balanced,84.8
8,61.8,62.9,medium,low,public,2,low,high,11,none,3,balanced,75.4
5,94.1,52.2,high,low,public,4,mid,medium,5,low,5,mixed,58.1
8,54.8,73.6,medium,high,public,3,low,medium,4,moderate,3,mixed,73.0
1,52.8,75.7,medium,low,private,7,mid,high,10,low,4,balanced,52.5
9,56.5,83.9,medium,medium,private,1,mid,high,6,moderate,7,junk-heavy,66.2
6,52.9,41.0,medium,medium,public,10,high,medium,6,moderate,5,mixed,71.5
3,92.3,81.9,medium,low,private,7,mid,high,6,moderate,4,junk-heavy,41.3
8,53.0,72.0,medium,medium,public,9,low,medium,5,low,6,mixed,72.0
9,63.6,34.0,medium,high,public,5,low,medium,11,moderate,6,mixed,90.3
6,55.2,84.4,medium,medium,public,3,mid,medium,11,moderate,7,mixed,69.3
7,64.8,56.8,high,low,public,10,low,high,10,none,5,balanced,81.8
1,54.5,53.1,high,high,public,2,low,medium,4,moderate,1,balanced,44.5
5,83.4,61.4,medium,high,private,9,high,high,5,low,5,balanced,69.6
5,56.7,54.2,high,low,private,4,low,medium,9,moderate,1,junk-heavy,70.3
4,92.6,53.7,medium,medium,private,5,low,medium,8,none,4,junk-heavy,56.5
6,90.9,86.6,high,low,public,0,high,medium,6,moderate,3,balanced,81.8
7,50.7,38.7,low,medium,public,0,low,medium,10,none,4,balanced,63.1
9,94.8,97.9,medium,medium,private,10,low,medium,10,none,3,mixed,98.0
1,51.4,68.8,high,low,public,9,low,medium,8,high,6,balanced,48.4
6,62.0,42.8,medium,low,private,2,mid,high,9,low,1,junk-heavy,54.3
7,51.6,39.2,high,medium,private,1,high,high,7,moderate,3,mixed,65.9
3,66.8,71.4,medium,medium,private,0,mid,medium,10,high,4,junk-heavy,56.0
8,75.7,74.3,medium,medium,public,10,low,low,8,low,4,balanced,97.4
5,89.8,33.7,medium,medium,international,7,low,medium,8,moderate,4,mixed,77.9
9,66.9,47.0,high,low,private,0,mid,medium,10,low,7,balanced,69.0
5,85.3,85.7,medium,medium,public,9,mid,low,8,none,5,mixed,84.3
9,59.4,33.5,medium,low,private,7,mid,medium,10,low,4,mixed,86.9
4,87.5,89.9,high,high,public,4,mid,high,10,moderate,5,junk-heavy,73.0
9,61.8,76.1,high,medium,public,3,high,medium,10,low,2,junk-heavy,90.6
5,57.2,60.4,high,low,private,7,low,high,5,none,1,balanced,56.7
9,59.3,54.3,medium,low,public,7,low,high,8,moderate,2,mixed,83.0
3,59.1,31.3,high,low,public,10,high,low,11,low,2,balanced,81.3
4,75.6,87.8,high,low,public,7,low,high,9,high,5,junk-heavy,61.3
9,92.2,40.0,high,medium,public,2,low,medium,6,moderate,5,balanced,85.9
6,54.0,51.7,low,high,public,7,mid,high,4,high,7,mixed,54.9
2,85.3,69.8,medium,medium,international,0,low,low,7,none,1,mixed,53.1
7,82.7,47.2,medium,medium,public,3,low,low,6,none,1,mixed,71.8
2,93.6,64.8,medium,medium,private,4,high,medium,4,low,6,junk-heavy,43.8
2,62.2,86.7,medium,medium,private,5,low,low,6,high,1,balanced,66.2
1,72.5,62.9,low,low,public,4,mid,medium,11,moderate,7,junk-heavy,40.8
3,96.3,96.4,medium,low,public,4,low,medium,8,high,4,mixed,55.3
6,83.0,89.3,medium,high,public,4,high,medium,7,none,4,junk-heavy,66.7
8,69.4,53.3,medium,high,international,8,low,medium,10,moderate,7,junk-heavy,79.3
9,56.6,58.0,medium,low,public,9,mid,low,6,moderate,1,mixed,96.8
7,63.1,59.6,high,low,private,9,low,medium,7,moderate,5,balanced,85.5
4,79.1,73.8,medium,medium,international,2,mid,medium,5,low,2,mixed,56.6
6,85.9,50.1,medium,medium,private,1,mid,low,5,moderate,1,junk-heavy,71.2
5,56.2,97.8,low,medium,private,9,low,high,8,moderate,6,balanced,67.7
8,80.0,72.6,medium,low,international,1,low,low,8,low,1,mixed,90.8
1,77.5,58.0,high,high,public,7,mid,medium,5,none,2,mixed,60.6
1,75.7,75.2,medium,medium,private,4,low,low,11,low,3,junk-heavy,68.8
6,84.5,57.7,medium,low,public,4,high,high,6,moderate,1,junk-heavy,58.5
2,91.9,87.2,medium,medium,public,5,low,high,10,moderate,1,mixed,55.0
5,66.1,69.7,high,low,public,8,mid,low,4,low,4,mixed,73.1
1,94.5,32.9,low,medium,public,6,high,medium,4,low,2,mixed,46.4
7,58.0,42.4,medium,medium,public,4,low,medium,10,low,6,balanced,64.7
1,58.7,90.5,medium,medium,public,4,low,low,5,low,1,junk-heavy,38.5
4,63.3,69.4,low,medium,public,9,low,medium,4,moderate,6,mixed,51.8
9,56.0,96.5,low,low,public,8,high,high,6,high,1,junk-heavy,90.1
1,61.5,35.1,medium,medium,private,8,mid,low,4,high,3,junk-heavy,36.9
4,55.3,50.7,low,medium,public,1,mid,medium,9,high,2,junk-heavy,48.1
6,91.1,43.5,low,medium,public,6,low,high,11,none,1,balanced,64.4
6,56.9,68.8,medium,low,private,9,low,medium,4,low,3,balanced,70.6
8,87.4,56.8,low,medium,public,0,mid,high,10,moderate,1,balanced,82.3
1,52.4,41.0,medium,medium,international,3,high,high,9,moderate,5,junk-heavy,42.5
7,97.4,75.0,low,medium,private,1,low,medium,10,none,3,balanced,78.4
1,85.6,67.5,medium,medium,public,9,mid,medium,5,moderate,6,mixed,52.6
7,50.3,49.2,high,medium,international,8,low,high,7,low,7,balanced,70.0
3,88.2,63.6,medium,high,private,5,mid,high,7,high,5,balanced,65.3
8,75.7,82.2,medium,low,public,3,low,medium,6,high,7,mixed,78.5
3,89.0,44.4,low,medium,private,2,mid,medium,7,none,1,junk-heavy,55.6
1,76.1,50.5,medium,medium,private,3,high,high,8,none,3,balanced,56.6
8,82.1,54.2,low,medium,private,1,mid,high,5,low,2,mixed,68.7
3,89.3,82.3,low,medium,private,4,high,medium,9,none,7,mixed,56.3
2,70.3,89.3,medium,high,public,8,low,medium,9,none,7,junk-heavy,53.3
1,50.1,56.3,high,medium,international,5,high,medium,11,high,6,mixed,61.1
3,92.5,50.8,medium,high,private,1,high,low,7,moderate,4,balanced,75.1
2,69.0,92.3,low,low,private,5,low,medium,4,moderate,1,balanced,50.2
2,74.8,100.0,high,medium,public,8,mid,low,7,high,3,mixed,72.2
6,50.4,76.9,low,medium,public,3,high,medium,5,low,5,balanced,60.0
1,74.6,99.3,high,medium,private,0,low,medium,4,moderate,3,mixed,55.1
2,99.3,76.2,medium,medium,private,1,mid,low,4,moderate,2,balanced,70.5
6,63.9,81.3,medium,medium,international,4,mid,low,9,high,3,balanced,98.0
3,69.8,57.2,medium,medium,international,9,low,medium,10,low,5,junk-heavy,63.0
4,84.4,60.3,high,medium,public,6,mid,high,11,moderate,1,junk-heavy,71.0
1,90.7,40.1,high,medium,private,7,low,low,11,high,6,balanced,65.3
8,70.9,87.6,medium,medium,public,2,low,medium,5,moderate,5,balanced,77.9
7,65.5,95.2,medium,medium,public,8,mid,high,6,low,6,mixed,80.7
7,96.9,73.6,medium,low,public,1,mid,medium,11,high,6,mixed,81.3
3,83.9,54.1,medium,medium,private,3,high,medium,6,none,5,balanced,50.4
3,56.0,40.8,high,medium,international,3,mid,medium,5,none,5,junk-heavy,41.6
2,53.4,48.6,low,low,public,5,mid,medium,9,none,4,junk-heavy,25.0
1,74.2,47.9,medium,low,public,9,mid,medium,10,moderate,6,mixed,51.9
7,61.0,72.9,high,low,international,5,mid,medium,5,moderate,1,junk-heavy,77.7
7,62.7,96.2,high,high,public,2,high,medium,5,moderate,4,mixed,84.7
2,93.9,33.4,low,medium,public,8,mid,medium,4,low,6,mixed,29.1
7,54.5,30.1,medium,low,public,10,mid,medium,10,high,3,junk-heavy,76.7
8,85.8,72.0,high,high,private,4,low,medium,11,low,1,balanced,98.0
1,63.6,49.9,medium,low,international,1,high,low,11,high,1,junk-heavy,49.7
9,88.0,91.6,medium,low,public,5,mid,high,4,high,6,mixed,74.6
7,86.1,52.9,low,high,public,2,low,medium,5,low,3,junk-heavy,59.4
3,50.4,50.3,high,high,public,7,mid,high,9,none,3,mixed,58.5
8,75.5,48.9,medium,medium,public,2,mid,high,4,none,5,mixed,52.8
7,57.0,40.1,low,medium,public,4,low,medium,8,moderate,6,balanced,57.9
8,93.3,70.7,medium,medium,international,3,mid,high,5,moderate,6,junk-heavy,78.1
6,93.6,41.8,high,high,private,3,low,high,10,none,1,junk-heavy,63.4
9,70.9,59.7,high,medium,international,1,mid,high,4,low,7,balanced,79.1
5,72.2,62.3,high,low,international,7,low,medium,6,moderate,2,junk-heavy,72.8
3,65.2,31.4,medium,medium,public,2,low,high,11,low,6,balanced,51.6
3,85.8,31.2,high,high,public,3,low,medium,5,moderate,5,mixed,51.7
1,67.9,66.4,high,high,private,5,mid,high,10,moderate,1,mixed,65.5
8,63.4,78.7,high,medium,public,8,low,medium,10,low,3,balanced,98.0
2,71.6,95.9,high,medium,private,3,high,high,5,moderate,3,junk-heavy,56.8
3,54.6,42.5,medium,low,public,2,low,medium,5,moderate,2,junk-heavy,29.9
8,87.3,37.2,medium,medium,private,4,high,high,7,moderate,1,mixed,79.3
8,50.6,33.6,high,medium,public,8,mid,high,5,none,4,junk-heavy,59.2
4,82.2,60.5,high,low,public,0,high,medium,6,low,5,balanced,55.8
4,59.1,73.6,medium,high,private,4,low,low,4,moderate,1,balanced,69.5
5,61.6,88.8,low,high,public,10,low,low,5,low,4,balanced,78.5
6,81.8,77.8,medium,low,public,3,mid,high,9,moderate,3,mixed,69.4
5,99.6,44.6,medium,high,private,4,mid,high,8,none,3,junk-heavy,66.6
7,88.9,62.3,low,medium,public,6,low,medium,9,none,4,mixed,74.0
2,61.3,93.7,high,medium,private,6,low,high,9,low,4,junk-heavy,49.0
7,58.8,52.9,medium,high,public,6,mid,low,4,none,2,junk-heavy,60.7
7,93.3,64.9,medium,low,private,0,low,low,6,none,1,mixed,68.4
1,72.2,97.1,medium,medium,public,8,low,medium,11,low,3,mixed,67.7
7,56.9,81.4,medium,medium,public,6,mid,medium,11,moderate,5,balanced,94.4
5,93.1,82.3,low,medium,public,3,mid,medium,7,low,3,balanced,77.5
3,90.8,47.7,medium,medium,private,3,high,high,10,none,1,balanced,71.4
3,99.2,59.0,low,low,public,1,low,low,11,low,4,mixed,59.6
4,95.5,35.8,low,medium,public,5,mid,high,6,moderate,2,mixed,54.8
2,92.6,72.5,low,low,private,9,low,medium,9,moderate,7,balanced,67.5
2,52.6,37.3,low,low,public,2,low,high,7,moderate,3,balanced,29.4
1,55.2,88.5,medium,low,private,0,mid,high,4,moderate,2,junk-heavy,37.7
5,78.4,87.0,medium,medium,private,4,mid,medium,10,moderate,4,junk-heavy,72.9
4,76.6,67.4,high,high,public,5,high,medium,7,high,6,junk-heavy,65.0
2,72.9,39.9,medium,high,public,10,mid,high,4,none,1,mixed,48.6
3,69.8,31.8,high,high,public,4,low,low,11,none,3,mixed,66.1
7,71.6,85.8,medium,high,private,4,low,medium,10,low,1,balanced,98.0
7,78.5,72.0,high,low,public,9,mid,low,6,moderate,5,balanced,96.3
4,50.1,79.8,medium,medium,public,10,mid,high,9,none,1,balanced,72.5
5,63.0,51.3,medium,medium,public,7,low,high,6,low,7,balanced,49.3
5,75.9,65.7,low,low,public,9,mid,high,7,none,6,mixed,48.8
6,86.1,82.3,medium,medium,public,0,high,high,10,moderate,4,balanced,85.8
9,58.7,62.4,medium,medium,public,7,mid,low,8,low,4,junk-heavy,88.3
2,77.3,72.1,medium,high,public,10,mid,high,9,high,5,junk-heavy,49.5
5,85.7,85.3,high,medium,public,6,high,medium,9,none,7,balanced,90.8
3,72.2,45.1,medium,high,public,0,mid,medium,6,high,1,balanced,61.6
4,51.4,34.6,low,low,public,8,low,medium,7,low,6,mixed,42.4
6,72.5,67.2,medium,low,public,3,low,medium,5,high,4,mixed,63.1
8,64.8,34.3,high,high,public,6,mid,high,11,high,4,balanced,98.0
1,96.5,83.7,medium,low,private,2,low,medium,11,low,4,junk-heavy,44.4
8,56.2,80.3,medium,medium,public,7,high,medium,4,none,4,junk-heavy,67.4
7,82.6,91.7,medium,medium,private,3,high,medium,5,moderate,2,mixed,98.0
1,52.6,74.8,medium,high,public,1,low,medium,10,low,7,junk-heavy,31.5
2,72.3,34.7,high,low,private,1,mid,low,11,high,3,mixed,60.8
3,77.7,47.7,high,low,public,7,mid,high,5,none,2,balanced,62.7
1,64.9,86.6,low,medium,international,7,low,medium,5,low,4,balanced,47.6
9,72.8,41.7,medium,medium,private,0,mid,high,7,none,7,mixed,60.1
8,58.2,78.9,medium,medium,public,5,mid,medium,6,low,6,mixed,79.6
2,65.2,84.6,low,high,public,8,mid,low,9,moderate,1,balanced,80.0
9,81.1,53.1,medium,medium,private,8,low,medium,5,moderate,2,junk-heavy,89.3
7,65.1,52.6,medium,high,international,1,mid,medium,10,moderate,5,balanced,86.6
9,95.0,69.0,medium,low,public,7,low,medium,11,high,3,mixed,95.7
6,81.4,90.3,high,medium,public,7,mid,low,7,none,1,mixed,92.2
6,71.9,45.7,medium,high,public,3,low,low,11,moderate,2,balanced,95.0
4,51.9,95.9,high,medium,public,3,mid,medium,11,low,3,junk-heavy,69.6
2,75.0,71.9,high,low,public,4,low,low,6,none,7,junk-heavy,40.5
7,88.2,99.4,high,high,public,10,low,medium,4,low,6,balanced,91.7
5,63.3,36.3,low,medium,public,9,low,high,6,high,7,mixed,53.6
6,90.3,38.9,high,high,public,6,high,low,6,moderate,2,balanced,98.0
2,62.6,87.9,high,low,private,0,low,medium,11,moderate,5,junk-heavy,52.8
5,91.2,90.5,medium,medium,private,10,mid,high,5,moderate,4,junk-heavy,77.0
4,54.3,61.2,medium,high,public,8,low,high,10,low,5,mixed,58.7
9,93.3,80.0,medium,medium,private,2,mid,low,7,low,4,balanced,98.0
6,75.0,90.7,high,low,public,10,mid,low,9,none,3,junk-heavy,80.6
2,64.8,33.0,high,low,public,3,low,medium,10,low,2,balanced,51.0
1,63.3,70.2,high,low,private,6,low,medium,8,moderate,2,mixed,52.7
5,71.6,89.7,high,medium,private,4,low,medium,4,moderate,5,balanced,64.9
9,100.0,57.9,medium,medium,private,4,mid,medium,7,none,1,mixed,91.9
6,61.0,51.2,medium,low,public,0,low,medium,9,low,3,junk-heavy,52.2
7,55.2,85.7,medium,low,public,1,mid,low,5,low,6,balanced,62.2
5,79.3,53.5,low,medium,private,4,low,low,11,moderate,4,balanced,71.4
6,74.4,30.2,medium,medium,public,1,mid,medium,7,moderate,7,balanced,59.6
5,76.2,97.2,high,medium,public,0,mid,medium,9,moderate,3,mixed,79.3
9,83.3,71.4,high,medium,public,9,low,medium,8,moderate,7,junk-heavy,90.1
6,63.4,87.4,medium,high,public,2,high,medium,4,low,6,mixed,60.8
8,95.5,87.8,medium,low,public,10,high,low,10,high,5,balanced,98.0
2,71.8,34.6,medium,medium,public,0,low,high,6,moderate,6,balanced,25.9
9,56.5,42.0,medium,medium,public,9,mid,high,9,none,2,mixed,83.6
5,87.1,51.8,medium,low,public,7,low,medium,4,moderate,4,mixed,55.5
7,82.2,52.4,medium,medium,public,7,mid,medium,10,high,4,mixed,85.2
1,65.8,76.1,high,high,public,7,low,medium,8,low,6,mixed,49.3
5,81.1,73.6,high,low,private,6,high,low,4,high,4,mixed,71.0
2,61.0,64.6,high,low,public,6,low,high,9,none,4,balanced,51.9
6,72.2,44.8,medium,medium,private,1,high,low,4,moderate,3,balanced,77.7
1,95.0,56.7,low,medium,public,8,mid,high,5,low,3,balanced,43.4
3,56.7,68.1,medium,medium,public,6,low,medium,6,low,6,mixed,46.1
5,69.3,62.8,high,medium,public,4,low,medium,11,high,7,balanced,72.2
4,91.1,38.9,high,high,public,3,mid,low,8,low,7,junk-heavy,68.0
3,98.5,75.5,medium,low,public,7,low,medium,11,none,5,mixed,61.3
5,72.7,35.1,high,low,public,4,high,high,11,moderate,6,junk-heavy,56.1
8,75.3,56.5,medium,low,private,5,high,high,5,high,6,balanced,78.7
4,78.6,79.7,medium,medium,public,3,mid,medium,4,none,7,junk-heavy,38.3
1,96.6,31.4,high,medium,private,1,mid,medium,4,low,2,balanced,50.9
7,92.9,69.9,high,high,private,6,low,medium,10,low,6,junk-heavy,85.3
8,58.5,53.4,medium,medium,public,1,high,medium,11,high,6,balanced,86.2
3,71.8,30.6,medium,medium,private,10,low,low,7,low,2,balanced,73.6
6,73.2,43.3,medium,low,private,6,low,medium,5,low,3,mixed,55.9
2,89.5,95.9,low,medium,international,6,low,high,8,low,5,mixed,45.9
7,80.1,66.5,high,low,public,0,high,high,8,low,7,mixed,66.8
8,82.7,99.8,medium,high,private,9,low,medium,11,low,1,balanced,98.0
6,99.9,66.7,low,medium,private,9,high,medium,10,high,6,mixed,91.2
6,53.7,68.1,low,low,private,2,mid,high,11,moderate,6,junk-heavy,51.3
5,61.2,57.4,high,medium,public,2,low,high,8,high,6,mixed,49.4
8,70.4,51.7,high,low,international,10,mid,medium,9,low,4,mixed,90.3
1,67.4,47.6,high,medium,international,5,low,high,9,none,6,mixed,44.1
4,51.1,54.0,low,low,private,10,low,high,9,none,2,balanced,61.6
4,54.6,62.2,high,medium,public,2,mid,medium,8,low,4,mixed,57.2
3,84.0,43.4,medium,medium,private,8,low,high,4,high,2,mixed,50.2
3,94.0,45.7,medium,medium,public,4,low,medium,9,high,6,balanced,58.2
4,75.7,49.0,high,medium,public,5,low,high,4,high,1,balanced,70.5
