study_hours_per_day,attendance_rate,homework_completion_rate,classroom_engagement_level,parents_academic_involvement,type_of_school,tuition_hours_per_week,household_income_bracket,stress_levels_during_exams,sleep_hours_per_day,extracurricular_involvement,screen_time_non_academic,nutrition_level,overall_academic_performance
4,66.5,55.3,low,medium,private,5,mid,medium,6,moderate,3,junk-heavy,56.5
1,67.3,72.2,high,low,public,3,mid,low,8,high,4,balanced,54.8
2,91.2,47.8,medium,medium,public,5,low,high,9,moderate,5,balanced,54.3
8,82.0,81.0,low,high,international,2,mid,medium,11,moderate,3,balanced,93.4
9,59.2,99.5,medium,medium,public,10,low,medium,6,low,6,balanced,98.0
7,93.2,61.6,high,low,international,0,mid,medium,10,high,4,junk-heavy,72.9
8,94.7,46.2,medium,medium,public,3,mid,medium,10,none,4,balanced,89.5
5,77.1,70.7,low,medium,private,9,high,high,7,low,2,mixed,81.1
4,92.1,60.9,high,medium,public,8,low,high,9,moderate,1,balanced,81.6
5,51.6,86.5,medium,low,international,3,high,low,10,moderate,5,junk-heavy,78.7
7,65.0,87.8,low,medium,public,8,mid,medium,4,low,6,mixed,67.2
5,82.3,93.6,low,high,public,0,mid,medium,10,high,5,mixed,64.3
6,96.5,40.2,low,medium,international,7,low,medium,11,high,5,balanced,91.3
9,72.3,53.3,medium,high,private,10,mid,medium,10,moderate,2,junk-heavy,98.0
5,79.8,66.7,medium,medium,private,9,high,high,10,none,3,mixed,82.6
8,69.1,52.6,high,low,public,8,low,high,8,low,5,junk-heavy,62.5
5,80.5,42.6,high,medium,private,10,mid,medium,11,moderate,6,balanced,83.8
6,86.4,51.8,high,low,public,1,low,low,9,high,1,balanced,81.5
7,50.1,73.5,high,low,private,8,high,low,10,low,3,mixed,98.0
1,56.3,70.1,low,medium,public,5,low,low,7,moderate,3,mixed,41.3
8,92.1,92.4,low,medium,public,8,low,low,4,moderate,3,junk-heavy,85.9
2,99.6,78.7,high,high,international,2,high,medium,11,none,1,balanced,88.9
6,99.9,66.7,low,medium,private,9,high,medium,10,high,6,mixed,91.2
9,80.2,72.0,high,high,public,10,mid,medium,4,low,3,mixed,98.0
8,50.9,46.9,low,low,private,7,mid,low,4,low,7,mixed,60.8
2,79.6,81.4,high,medium,public,6,low,low,8,high,5,junk-heavy,63.8
1,78.6,99.3,medium,medium,private,4,low,low,8,high,6,balanced,57.1
1,51.0,98.0,medium,medium,private,8,high,medium,10,moderate,7,mixed,52.9
3,60.1,59.4,low,low,private,5,low,medium,5,none,1,junk-heavy,41.4
8,87.9,34.5,medium,high,public,8,mid,medium,9,none,5,mixed,88.3
5,60.9,57.3,medium,high,international,2,low,low,10,none,1,balanced,88.4
1,94.7,98.6,high,low,private,8,low,medium,4,low,7,junk-heavy,47.6
1,58.7,95.5,medium,low,private,4,mid,medium,11,moderate,3,junk-heavy,53.3
7,63.5,48.7,high,low,public,3,mid,high,5,moderate,5,balanced,53.6
8,59.1,97.5,medium,low,private,8,mid,low,11,none,7,junk-heavy,81.5
2,72.1,71.5,medium,medium,private,9,low,medium,7,none,4,balanced,52.5
1,55.4,34.1,medium,high,private,6,mid,low,10,high,1,balanced,70.2
8,50.4,40.3,low,medium,public,7,high,low,9,low,7,mixed,78.1
8,71.9,95.4,medium,medium,private,5,mid,medium,6,none,7,mixed,77.1
9,52.7,35.5,medium,high,public,6,low,low,7,low,6,junk-heavy,81.4
8,51.1,32.7,medium,low,public,8,mid,high,11,low,3,balanced,84.2
9,52.7,65.8,medium,medium,international,2,mid,high,7,none,7,junk-heavy,56.9
4,50.3,93.9,medium,medium,public,10,low,low,8,moderate,6,balanced,76.6
8,53.8,64.8,medium,medium,public,10,mid,medium,11,high,4,mixed,90.3
7,92.0,54.0,medium,low,private,0,high,low,10,moderate,6,junk-heavy,76.2
6,82.6,97.8,high,medium,public,4,low,high,7,moderate,7,balanced,73.8
9,67.7,78.7,medium,low,public,5,low,low,6,none,6,mixed,71.4
7,85.1,51.6,medium,medium,public,10,high,medium,5,none,4,junk-heavy,78.9
6,62.9,83.3,high,high,public,6,low,high,5,low,6,junk-heavy,55.6
4,91.6,69.6,medium,low,private,3,mid,high,11,moderate,4,junk-heavy,69.5
1,98.1,91.4,low,medium,private,0,mid,low,10,moderate,7,balanced,54.0
1,53.5,67.6,low,low,public,7,low,medium,11,none,7,junk-heavy,27.6
7,73.0,54.3,medium,low,public,5,low,medium,5,low,4,balanced,71.1
7,82.8,77.0,medium,medium,private,10,low,high,11,moderate,6,balanced,91.3
8,75.9,73.8,medium,high,international,4,high,medium,9,moderate,6,mixed,94.4
9,83.1,54.3,medium,medium,private,6,high,medium,7,low,1,junk-heavy,98.0
9,64.9,87.4,medium,low,public,5,high,high,8,none,5,junk-heavy,82.6
2,85.6,54.3,low,medium,public,6,low,medium,5,low,4,balanced,52.1
8,61.6,99.6,medium,medium,international,3,high,medium,10,low,2,mixed,98.0
9,76.4,35.7,high,high,public,5,mid,high,9,low,4,mixed,95.4
7,68.0,86.1,medium,high,public,0,low,low,5,low,4,balanced,78.6
5,98.9,75.3,high,medium,private,8,low,high,8,none,4,balanced,84.7
7,83.8,74.4,high,high,public,1,high,medium,8,moderate,3,junk-heavy,97.9
4,73.4,42.6,high,low,public,2,mid,low,11,none,4,junk-heavy,61.2
8,95.8,52.9,medium,medium,public,8,mid,medium,11,low,4,junk-heavy,92.1
1,83.6,95.2,high,high,private,3,mid,low,9,low,4,balanced,74.3
5,62.2,35.4,medium,medium,public,9,low,high,4,moderate,7,balanced,55.8
5,87.1,51.8,medium,low,public,7,low,medium,4,moderate,4,mixed,55.5
1,59.5,57.0,medium,high,private,10,low,medium,11,moderate,7,mixed,54.5
1,98.8,47.5,medium,high,public,6,low,high,9,low,3,junk-heavy,51.0
6,52.5,81.4,medium,medium,public,2,low,high,9,high,1,junk-heavy,61.5
2,74.8,100.0,high,medium,public,8,mid,low,7,high,3,mixed,72.2
8,50.3,95.7,high,low,public,9,mid,low,6,moderate,6,balanced,98.0
6,71.6,59.7,high,medium,private,0,high,high,7,none,5,balanced,66.4
8,94.6,80.7,medium,high,private,3,low,high,7,none,7,junk-heavy,63.8
6,98.2,63.7,medium,low,private,2,low,medium,9,moderate,5,mixed,68.3
9,60.9,71.8,low,low,international,0,mid,medium,10,high,1,balanced,84.2
7,88.5,91.6,high,low,public,9,low,medium,4,none,3,mixed,86.6
3,70.7,92.3,medium,high,public,8,mid,low,9,low,4,mixed,74.6
2,82.2,67.7,medium,low,public,2,high,medium,5,moderate,3,balanced,55.6
4,51.3,94.2,low,medium,public,4,low,medium,4,low,7,balanced,47.2
5,84.9,89.0,low,low,private,8,mid,medium,10,none,1,mixed,84.3
2,90.9,82.7,low,medium,international,3,mid,high,6,moderate,4,balanced,52.1
3,92.1,70.4,high,medium,private,10,mid,medium,9,low,2,mixed,93.6
6,64.6,31.4,low,low,public,9,high,low,6,moderate,4,mixed,65.7
8,84.3,76.8,medium,medium,public,4,high,low,8,low,2,mixed,98.0
7,78.0,43.4,high,medium,public,4,mid,medium,7,moderate,5,balanced,78.5
6,81.1,52.2,low,medium,public,8,mid,high,6,none,1,mixed,57.3
1,98.4,32.7,medium,medium,private,7,low,medium,8,moderate,4,balanced,55.2
8,54.7,30.7,high,medium,private,7,mid,medium,8,low,2,mixed,84.1
1,86.1,61.3,low,high,public,3,low,medium,9,none,5,balanced,39.3
3,95.2,37.3,medium,medium,international,0,high,medium,8,moderate,1,mixed,65.1
6,61.9,37.4,high,medium,private,8,mid,low,8,moderate,7,mixed,80.0
1,73.9,84.5,medium,medium,international,3,low,high,5,low,7,balanced,37.8
2,97.1,49.1,high,medium,private,6,low,high,8,high,3,balanced,57.7
4,94.8,34.1,low,low,public,1,mid,medium,6,moderate,4,mixed,48.8
4,71.8,85.5,high,medium,private,6,high,low,9,low,4,junk-heavy,76.9
8,55.6,94.6,medium,low,private,9,low,medium,7,none,3,balanced,91.0
9,74.5,92.6,high,low,public,5,high,high,11,low,5,mixed,94.9
2,56.7,68.7,high,medium,private,7,low,low,7,low,2,mixed,55.5
3,50.7,98.1,high,low,international,0,low,high,4,moderate,4,mixed,43.5
9,61.5,85.9,medium,low,public,8,mid,medium,11,none,1,junk-heavy,98.0
6,72.6,66.8,medium,high,public,7,mid,high,11,high,7,balanced,76.7
9,80.4,68.9,low,medium,public,4,high,high,4,low,3,balanced,76.4
2,88.2,91.5,medium,medium,public,5,low,medium,10,low,5,balanced,78.1
4,93.9,68.3,medium,low,public,6,mid,high,11,low,6,balanced,57.2
5,62.8,32.4,medium,low,public,7,high,medium,8,low,2,junk-heavy,59.2
3,63.2,90.0,medium,high,private,6,low,low,7,high,3,balanced,83.8
2,50.5,97.5,medium,low,public,0,mid,medium,9,none,2,mixed,42.2
5,67.0,53.5,low,high,public,2,mid,medium,10,none,3,junk-heavy,59.5
8,64.6,61.8,medium,medium,public,5,mid,low,9,high,5,mixed,81.9
3,64.9,92.7,medium,high,public,6,mid,high,5,high,7,junk-heavy,49.5
9,65.8,88.3,medium,medium,international,0,high,medium,9,moderate,3,junk-heavy,90.9
8,57.3,37.8,low,low,public,8,low,high,7,low,3,balanced,67.8
6,95.8,50.5,medium,high,public,2,high,medium,8,low,4,junk-heavy,76.3
3,55.1,56.9,high,medium,public,4,low,low,6,low,3,junk-heavy,47.9
9,68.0,60.5,high,low,international,3,low,medium,9,low,5,balanced,91.6
5,50.5,70.9,medium,high,private,2,low,medium,9,low,5,balanced,71.9
5,52.4,54.7,medium,medium,public,10,mid,medium,8,low,5,junk-heavy,65.5
9,88.0,87.8,medium,low,public,7,low,low,11,none,6,balanced,98.0
5,91.2,67.4,high,low,private,2,low,high,4,none,7,mixed,54.9
3,63.3,94.7,high,medium,private,10,mid,high,4,moderate,4,balanced,58.5
9,90.3,33.4,high,high,public,9,high,low,4,moderate,1,mixed,98.0
6,91.6,65.7,high,medium,private,10,mid,medium,5,high,1,balanced,98.0
6,69.1,41.1,medium,medium,public,5,mid,high,9,none,4,mixed,59.5
1,85.0,34.0,medium,low,public,3,high,low,9,moderate,1,balanced,64.6
8,73.9,81.5,medium,low,private,5,low,low,11,none,6,balanced,98.0
8,82.7,47.6,medium,high,private,4,high,low,5,low,1,mixed,98.0
9,69.3,35.3,high,medium,public,7,low,high,6,low,1,junk-heavy,81.1
8,89.1,64.4,medium,medium,public,9,low,medium,5,moderate,5,balanced,95.4
9,83.2,61.5,medium,low,private,7,mid,medium,10,none,6,balanced,91.6
9,95.7,42.1,medium,medium,public,9,high,medium,7,none,7,balanced,85.8
2,99.3,76.2,medium,medium,private,1,mid,low,4,moderate,2,balanced,70.5
1,92.9,49.9,high,low,public,10,mid,low,9,moderate,4,junk-heavy,65.1
6,83.6,45.1,medium,low,private,4,low,high,5,none,4,junk-heavy,44.0
1,91.6,72.2,medium,low,public,8,mid,medium,9,low,1,balanced,66.3
5,82.7,98.2,high,medium,private,5,low,low,9,none,1,balanced,98.0
3,82.4,73.1,medium,medium,private,0,low,medium,7,low,1,balanced,66.3
9,67.5,35.7,medium,high,public,4,low,medium,8,high,7,balanced,84.6
3,95.5,49.0,low,high,public,2,mid,medium,9,moderate,5,balanced,63.1
4,92.7,99.6,low,high,private,6,mid,medium,9,low,2,mixed,75.9
4,88.0,81.4,high,high,public,3,high,low,11,none,3,junk-heavy,80.9
3,66.2,72.9,medium,medium,public,7,low,low,10,moderate,6,balanced,72.6
5,60.5,32.6,high,high,public,6,high,medium,9,high,5,balanced,86.6
9,81.2,35.1,high,low,public,8,high,medium,10,low,3,balanced,98.0
5,75.3,37.6,low,medium,private,1,low,high,11,moderate,6,balanced,56.1
9,61.7,85.0,high,medium,public,0,high,low,6,low,2,balanced,85.0
1,64.8,33.5,low,high,public,7,low,low,10,moderate,7,mixed,42.6
7,70.8,72.8,high,low,private,1,low,high,5,moderate,1,mixed,69.6
7,51.0,87.5,medium,medium,international,6,low,medium,6,low,2,junk-heavy,68.2
3,73.2,52.3,medium,medium,private,6,low,medium,11,moderate,1,junk-heavy,55.7
3,81.8,34.5,low,medium,public,2,mid,medium,8,high,5,mixed,42.6
6,92.9,97.3,medium,medium,public,9,mid,medium,4,moderate,5,balanced,89.5
1,94.8,60.4,medium,medium,public,0,low,medium,8,low,1,junk-heavy,47.4
5,72.3,94.6,low,medium,public,4,low,low,7,high,2,mixed,80.4
3,95.7,64.7,medium,medium,private,5,mid,medium,6,none,6,junk-heavy,51.3
2,92.1,48.2,medium,high,private,0,low,high,11,high,3,balanced,56.7
3,86.5,54.0,medium,medium,public,6,low,high,9,moderate,3,balanced,72.5
8,52.4,93.1,low,low,private,0,low,medium,9,low,4,mixed,71.9
4,54.2,52.2,medium,medium,public,1,mid,high,4,moderate,4,junk-heavy,26.8
3,77.3,72.5,medium,medium,public,4,high,high,9,low,4,balanced,59.2
9,82.5,45.6,low,medium,public,1,mid,high,9,high,5,junk-heavy,64.2
1,75.7,75.2,medium,medium,private,4,low,low,11,low,3,junk-heavy,68.8
1,94.4,58.3,medium,medium,private,9,low,low,6,none,1,junk-heavy,57.5
1,74.6,77.3,high,medium,private,10,high,medium,10,low,5,junk-heavy,68.5
7,72.2,45.6,medium,medium,public,6,low,high,10,none,5,junk-heavy,62.8
6,71.1,69.8,low,low,private,5,mid,medium,9,low,5,balanced,71.0
4,95.8,66.9,medium,low,public,7,low,high,9,moderate,2,junk-heavy,57.5
6,85.2,47.2,medium,high,public,6,low,medium,7,none,4,junk-heavy,73.3
5,66.9,47.7,high,high,public,9,high,medium,6,high,5,balanced,77.2
3,77.4,97.6,low,low,private,10,mid,high,11,moderate,2,mixed,69.2
4,73.4,98.5,high,medium,public,6,low,low,7,low,6,mixed,68.4
8,75.7,82.2,medium,low,public,3,low,medium,6,high,7,mixed,78.5
8,50.6,99.6,medium,medium,private,10,high,medium,10,moderate,1,mixed,98.0
1,64.0,35.1,medium,medium,public,7,high,medium,4,low,1,balanced,47.8
3,92.5,55.5,medium,low,public,9,high,medium,6,moderate,7,mixed,58.3
9,50.3,97.5,medium,medium,public,6,high,medium,5,high,4,balanced,98.0
9,59.4,77.1,low,medium,public,10,mid,low,9,low,3,junk-heavy,91.5
1,89.4,62.7,low,low,public,0,low,medium,4,low,3,balanced,37.8
9,50.2,48.3,high,low,private,0,low,high,10,none,4,mixed,68.8
4,95.5,79.1,medium,medium,public,5,low,low,11,low,4,junk-heavy,63.8
7,82.2,52.4,medium,medium,public,7,mid,medium,10,high,4,mixed,85.2
5,60.6,84.1,low,medium,private,8,high,medium,6,moderate,7,junk-heavy,58.3
8,68.8,64.7,medium,high,public,4,mid,high,4,high,2,junk-heavy,69.9
3,55.4,88.2,medium,high,public,8,low,high,6,low,3,junk-heavy,46.2
4,75.6,87.8,high,low,public,7,low,high,9,high,5,junk-heavy,61.3
1,90.1,77.9,high,high,public,2,mid,high,4,high,3,balanced,47.8
7,65.8,70.6,high,high,international,6,low,high,10,none,7,mixed,80.2
3,59.2,40.4,high,low,international,8,low,high,9,high,2,junk-heavy,54.4
8,76.2,52.4,high,low,public,2,high,medium,6,moderate,6,mixed,82.2
3,52.3,36.6,high,low,private,8,low,medium,8,high,7,balanced,48.0
7,63.1,59.6,high,low,private,9,low,medium,7,moderate,5,balanced,85.5
6,96.5,36.9,high,medium,public,3,low,medium,10,none,3,balanced,85.7
9,82.2,62.7,medium,medium,public,10,mid,low,6,high,5,balanced,98.0
6,75.3,46.8,high,medium,private,10,mid,high,8,none,4,mixed,72.5
1,60.9,92.8,medium,high,public,9,high,low,7,moderate,3,junk-heavy,69.0
5,59.5,89.1,high,high,private,3,low,high,10,high,4,balanced,83.7
6,97.1,62.6,high,high,public,4,mid,high,10,low,2,mixed,87.3
9,86.8,68.5,low,medium,public,1,mid,medium,4,low,1,junk-heavy,72.3
7,65.5,95.2,medium,medium,public,8,mid,high,6,low,6,mixed,80.7
9,96.2,54.0,medium,medium,private,9,mid,high,8,moderate,2,junk-heavy,88.5
6,70.1,30.6,low,medium,private,3,mid,high,4,moderate,4,mixed,54.5
5,72.6,43.6,high,high,public,3,mid,medium,11,low,7,junk-heavy,66.0
2,61.2,52.1,high,low,public,10,low,high,9,low,3,balanced,69.6
3,69.8,57.2,medium,medium,international,9,low,medium,10,low,5,junk-heavy,63.0
1,85.5,52.9,medium,medium,public,1,low,medium,11,none,3,balanced,54.2
8,52.0,38.5,low,high,private,0,high,medium,8,high,5,junk-heavy,66.6
1,55.1,43.6,high,high,public,10,low,medium,8,low,6,balanced,53.4
5,50.9,30.3,low,low,international,8,low,high,10,none,3,junk-heavy,48.9
4,72.4,61.1,low,low,private,10,low,high,5,moderate,7,junk-heavy,40.5
4,74.0,75.4,high,medium,private,10,low,high,6,none,4,junk-heavy,57.0
2,96.6,50.6,medium,low,private,3,mid,high,7,moderate,1,junk-heavy,50.7
8,98.0,64.5,medium,medium,private,9,high,low,11,low,7,mixed,98.0
2,50.1,85.5,medium,medium,public,1,low,medium,9,low,6,junk-heavy,37.4
6,98.0,37.8,medium,medium,public,1,mid,low,9,high,3,junk-heavy,64.6
3,59.1,31.3,high,low,public,10,high,low,11,low,2,balanced,81.3
6,92.2,89.2,high,high,international,9,mid,high,9,high,7,balanced,98.0
2,75.3,84.5,low,medium,public,7,low,medium,11,high,4,junk-heavy,46.2
1,72.6,65.4,medium,medium,international,6,low,high,5,low,1,mixed,47.8
4,87.2,93.8,high,low,international,6,mid,medium,8,moderate,5,mixed,73.8
4,96.6,88.4,low,high,public,1,high,low,11,high,6,balanced,92.2
1,80.8,86.7,medium,medium,public,6,mid,low,8,none,7,mixed,50.0
9,54.0,34.8,medium,low,public,4,low,medium,7,moderate,1,balanced,90.5
5,85.3,85.7,medium,medium,public,9,mid,low,8,none,5,mixed,84.3
3,89.2,88.2,high,medium,public,9,high,high,10,moderate,4,mixed,76.4
5,93.1,48.2,medium,high,private,0,high,medium,8,none,2,balanced,78.5
5,77.4,90.3,medium,medium,private,8,low,medium,4,high,6,junk-heavy,70.0
2,71.0,75.5,low,low,public,2,low,medium,7,moderate,7,balanced,37.3
4,90.0,36.1,medium,medium,public,7,mid,low,9,low,4,mixed,70.0
6,88.8,39.1,medium,medium,private,7,mid,high,5,none,6,mixed,60.0
1,98.6,31.7,medium,medium,public,10,low,high,9,moderate,7,junk-heavy,33.9
4,61.2,87.5,medium,low,public,9,high,high,4,low,2,junk-heavy,63.2
1,83.5,70.2,high,medium,public,9,mid,high,9,low,3,mixed,50.2
5,53.2,86.6,low,low,public,10,low,high,4,moderate,3,mixed,46.6
9,78.0,35.2,low,high,public,0,low,high,8,none,7,balanced,69.4
5,67.3,62.5,high,low,public,3,mid,low,7,low,1,mixed,82.1
6,83.9,92.9,high,medium,public,5,mid,medium,11,moderate,3,balanced,98.0
6,80.8,70.4,medium,low,public,9,mid,medium,9,none,3,junk-heavy,77.6
3,92.6,82.0,medium,medium,public,3,mid,medium,9,none,5,junk-heavy,57.2
1,93.6,79.5,high,medium,public,7,mid,low,10,none,1,balanced,88.5
6,98.7,45.4,high,high,public,5,mid,low,10,low,1,balanced,98.0
8,88.8,75.8,medium,medium,private,7,low,high,10,low,2,balanced,98.0
5,63.4,52.3,medium,high,public,7,low,medium,8,low,5,junk-heavy,58.4
2,71.8,38.8,low,low,public,9,mid,low,10,low,3,mixed,56.0
6,96.5,40.3,medium,high,public,10,mid,medium,5,low,2,balanced,83.4
6,80.5,55.8,high,high,public,3,low,high,5,high,2,balanced,70.4
7,93.2,92.3,medium,medium,public,2,low,high,4,moderate,7,mixed,63.6
5,87.7,51.6,medium,low,public,8,low,medium,6,moderate,5,balanced,61.5
8,53.2,30.7,medium,medium,private,10,low,high,8,moderate,4,balanced,66.2
4,66.8,61.2,medium,low,public,9,mid,low,9,high,2,balanced,82.1
6,57.0,32.3,low,low,public,1,mid,medium,4,none,2,balanced,48.7
2,92.2,63.5,medium,medium,public,0,low,high,4,moderate,4,mixed,25.0
2,65.6,77.4,medium,medium,private,4,high,high,4,low,4,junk-heavy,37.4
9,65.0,76.8,low,medium,public,3,low,high,10,high,2,mixed,83.4
3,70.5,89.6,high,low,public,4,mid,medium,11,high,7,balanced,72.9
8,53.0,61.3,high,medium,international,9,high,medium,11,none,5,junk-heavy,84.6
7,93.7,95.2,medium,medium,private,4,low,high,6,low,5,junk-heavy,70.2
3,87.8,46.9,low,medium,public,0,high,medium,9,moderate,7,mixed,43.9
1,72.9,41.2,low,high,private,7,mid,low,9,none,4,junk-heavy,40.8
1,59.6,57.2,medium,medium,private,10,low,low,8,high,4,balanced,60.3
4,97.0,67.3,high,medium,public,0,low,low,11,moderate,2,balanced,88.8
4,50.8,59.1,medium,low,public,0,low,medium,7,moderate,4,balanced,49.9
3,54.6,42.5,medium,low,public,2,low,medium,5,moderate,2,junk-heavy,29.9
1,51.5,32.9,medium,medium,public,0,high,medium,7,none,4,junk-heavy,25.0
3,59.0,57.4,medium,medium,public,4,high,high,5,low,7,balanced,31.4
5,81.1,59.2,medium,medium,public,7,mid,medium,11,none,4,junk-heavy,69.1
2,68.3,40.2,medium,high,private,3,low,medium,10,low,3,balanced,61.9
9,69.5,77.0,high,low,public,2,mid,high,9,none,3,balanced,80.6
7,51.4,56.8,high,high,private,2,low,high,11,moderate,3,balanced,94.2
9,62.3,63.1,medium,low,public,4,low,high,8,none,2,balanced,73.8
3,69.6,94.2,high,medium,public,9,mid,low,4,high,6,balanced,75.7
3,91.5,66.7,medium,low,private,0,mid,medium,10,moderate,2,balanced,76.8
5,56.6,54.3,high,high,public,1,low,medium,10,moderate,7,junk-heavy,61.7
6,88.4,30.6,low,low,public,6,low,high,9,moderate,5,junk-heavy,43.4
6,84.0,85.0,high,high,public,1,low,medium,5,low,5,balanced,87.1
4,58.7,62.1,medium,high,public,9,mid,medium,9,none,4,junk-heavy,65.3
5,89.7,50.1,medium,medium,private,3,mid,high,9,high,6,mixed,59.2
5,65.1,67.7,medium,low,private,8,low,medium,4,low,4,balanced,72.3
5,81.1,73.6,high,low,private,6,high,low,4,high,4,mixed,71.0
4,56.3,91.8,high,low,public,1,low,low,7,moderate,1,balanced,80.8
9,96.9,63.5,medium,high,public,6,mid,medium,10,moderate,4,mixed,98.0
6,89.1,70.1,medium,medium,public,6,low,medium,7,low,4,balanced,79.3
3,89.7,93.5,medium,medium,public,5,mid,medium,10,high,5,balanced,85.4
1,58.4,92.8,medium,medium,public,9,mid,medium,7,low,4,balanced,61.5
2,55.5,69.8,high,high,international,3,low,medium,7,moderate,4,balanced,71.2
6,93.1,47.0,high,medium,private,2,mid,low,9,moderate,6,mixed,71.6
6,54.6,79.2,medium,medium,public,0,mid,medium,5,moderate,6,balanced,65.0
8,53.5,70.5,medium,low,private,10,mid,medium,5,low,2,balanced,85.9
2,83.0,85.3,medium,medium,international,6,mid,high,4,moderate,7,balanced,55.4
4,85.9,39.5,high,low,private,4,mid,low,7,none,4,junk-heavy,61.3
8,64.5,55.1,high,medium,public,9,low,high,10,low,2,mixed,91.8
7,94.3,64.7,high,medium,private,7,mid,medium,9,none,3,balanced,98.0
4,78.8,45.1,medium,low,public,5,high,high,9,moderate,4,balanced,61.8
9,65.6,52.4,low,low,international,6,mid,medium,8,low,7,balanced,78.6
7,60.5,32.4,medium,low,public,6,mid,high,9,high,2,junk-heavy,66.0
7,87.9,71.6,high,low,private,6,low,low,4,none,6,junk-heavy,72.4
9,95.4,55.8,high,medium,public,2,high,medium,6,none,1,mixed,95.1
8,85.7,42.2,high,medium,public,5,low,high,11,low,4,junk-heavy,83.8
4,62.2,34.9,medium,medium,international,6,high,high,6,moderate,5,mixed,53.6
7,81.4,49.4,low,high,public,4,mid,medium,6,moderate,7,junk-heavy,76.5
4,98.4,41.1,low,high,public,5,low,medium,5,high,5,mixed,54.5
7,50.3,49.2,high,medium,international,8,low,high,7,low,7,balanced,70.0
2,91.8,94.0,medium,high,public,2,low,medium,5,low,4,balanced,58.8
4,56.9,96.7,medium,medium,public,5,mid,low,7,low,2,mixed,80.0
8,53.2,78.2,medium,high,public,5,mid,high,7,none,3,balanced,80.4
9,99.9,34.5,high,low,public,5,mid,medium,9,none,3,balanced,91.2
9,91.0,34.9,medium,medium,public,5,high,high,5,none,6,junk-heavy,58.7
1,79.0,86.6,high,medium,private,2,high,medium,5,none,3,mixed,52.3
2,91.1,70.6,medium,low,public,0,mid,low,4,high,6,balanced,44.1
8,98.1,95.5,low,low,private,8,high,low,11,moderate,3,junk-heavy,98.0
4,94.9,75.3,medium,low,public,7,mid,high,5,moderate,5,junk-heavy,60.1
2,69.0,39.1,low,low,public,6,mid,high,6,moderate,1,mixed,34.5
8,57.7,46.3,high,medium,private,8,mid,medium,5,none,4,mixed,84.4
9,88.0,98.7,high,medium,public,8,mid,high,6,low,4,junk-heavy,92.5
6,89.8,45.1,high,low,public,7,mid,low,5,low,4,balanced,79.6
6,77.3,39.9,medium,low,public,4,high,medium,5,none,2,mixed,60.2
1,95.1,48.5,medium,medium,public,7,low,medium,11,moderate,7,junk-heavy,51.2
5,97.5,38.3,medium,medium,public,7,mid,medium,11,none,5,balanced,69.7
8,75.5,30.3,medium,medium,private,2,low,high,6,low,7,balanced,60.8
9,56.3,62.4,medium,medium,public,4,low,high,5,none,1,balanced,81.2
6,79.6,91.8,medium,medium,public,10,mid,high,6,moderate,6,mixed,65.7
4,96.8,88.7,high,medium,private,0,high,low,7,high,4,balanced,82.8
1,88.6,44.5,low,low,public,1,mid,medium,7,none,6,junk-heavy,25.0
3,71.8,30.6,medium,medium,private,10,low,low,7,low,2,balanced,73.6
3,64.9,88.0,medium,medium,public,0,high,medium,10,low,5,junk-heavy,53.0
7,92.5,72.7,low,medium,public,9,mid,medium,9,low,5,balanced,91.6
3,83.9,56.4,medium,low,private,0,low,medium,6,low,2,junk-heavy,33.8
4,74.9,31.7,medium,medium,private,5,low,low,10,high,3,balanced,79.9
9,96.4,77.6,low,medium,public,7,mid,high,4,high,1,balanced,92.8
4,90.3,90.8,high,low,private,7,low,high,5,none,4,junk-heavy,56.9
6,55.4,77.2,low,high,public,4,low,high,5,moderate,4,mixed,47.2
9,51.0,67.6,high,medium,public,3,low,low,11,high,6,balanced,97.5
6,53.2,60.4,medium,low,public,0,low,high,7,low,3,mixed,49.6
3,81.6,80.0,medium,medium,public,3,low,low,6,low,5,mixed,58.0
6,90.6,45.1,low,high,public,2,low,low,9,moderate,4,junk-heavy,68.8
3,65.3,78.3,high,medium,public,9,low,medium,9,low,4,mixed,74.9
2,77.1,58.4,medium,low,public,10,mid,medium,11,moderate,3,mixed,64.1
6,99.9,34.8,medium,medium,public,3,high,medium,11,moderate,2,mixed,78.2
8,83.2,89.5,low,high,public,10,mid,medium,5,low,4,balanced,98.0
2,66.5,50.9,high,low,international,9,mid,medium,9,moderate,3,balanced,64.4
8,85.7,62.6,medium,medium,public,0,high,medium,5,none,5,balanced,76.8
8,53.2,50.3,medium,medium,international,7,low,high,4,high,5,mixed,71.7
7,60.2,43.6,low,low,private,9,mid,high,4,moderate,1,balanced,70.0
8,51.2,44.0,low,high,private,6,low,medium,4,none,2,mixed,65.3
1,59.8,52.8,high,high,international,3,low,high,11,moderate,2,balanced,60.4
8,76.8,92.7,medium,medium,public,1,mid,medium,6,high,6,junk-heavy,73.5
2,59.4,84.8,medium,high,private,2,high,medium,9,none,6,mixed,54.1
7,55.1,67.8,low,medium,public,5,mid,medium,11,moderate,1,mixed,81.7
3,94.9,51.8,low,low,public,2,high,low,6,none,5,mixed,54.1
7,78.9,48.9,medium,high,public,9,low,medium,7,none,6,mixed,79.0
8,73.1,71.2,medium,medium,public,3,low,medium,10,moderate,7,junk-heavy,68.7
5,86.3,58.1,high,medium,public,9,mid,low,6,none,3,mixed,75.6
8,53.0,72.0,medium,medium,public,9,low,medium,5,low,6,mixed,72.0
